period,year,month,branch_id,account_id,budget_amount
2022-01,2022,1,B001,1,81092.0
2022-01,2022,1,B001,2,61886.0
2022-01,2022,1,B001,3,44814.0
2022-01,2022,1,B001,4,55484.0
2022-01,2022,1,B001,5,42768.0
2022-01,2022,1,B001,6,21384.0
2022-01,2022,1,B001,7,28512.0
2022-01,2022,1,B001,8,17820.0
2022-01,2022,1,B001,9,14256.0
2022-01,2022,1,B001,10,22572.0
2022-01,2022,1,B001,11,35420.0
2022-01,2022,1,B001,12,9603.0
2022-01,2022,1,B001,13,-10164.0
2022-01,2022,1,B001,14,-7502.0
2022-01,2022,1,B001,15,-6776.0
2022-01,2022,1,B001,16,-77000.0
2022-01,2022,1,B001,17,-16500.0
2022-01,2022,1,B001,18,-15125.0
2022-01,2022,1,B001,19,-10771.2
2022-01,2022,1,B001,20,-4936.8
2022-01,2022,1,B001,21,-4263.6
2022-01,2022,1,B001,22,-3141.6
2022-01,2022,1,B001,23,-13912.8
2022-01,2022,1,B001,24,-6956.4
2022-01,2022,1,B001,25,-6283.2
2022-01,2022,1,B001,26,-4039.2
2022-01,2022,1,B001,27,-11668.8
2022-01,2022,1,B001,28,-3590.4
2022-01,2022,1,B001,29,-5313.0
2022-01,2022,1,B001,30,-7161.0
2022-01,2022,1,B001,31,-2772.0
2022-01,2022,1,B001,32,-4039.2
2022-01,2022,1,B001,33,-3141.6
2022-01,2022,1,B001,34,-4712.4
2022-01,2022,1,B001,35,-6507.6
2022-01,2022,1,B001,36,-2692.8
2022-01,2022,1,B001,37,-2468.4
2022-01,2022,1,B001,38,-8360.0
2022-01,2022,1,B001,39,-3080.0
2022-01,2022,1,B001,40,-19360.0
2022-01,2022,1,B002,1,81092.0
2022-01,2022,1,B002,2,61886.0
2022-01,2022,1,B002,3,44814.0
2022-01,2022,1,B002,4,55484.0
2022-01,2022,1,B002,5,42768.0
2022-01,2022,1,B002,6,21384.0
2022-01,2022,1,B002,7,28512.0
2022-01,2022,1,B002,8,17820.0
2022-01,2022,1,B002,9,14256.0
2022-01,2022,1,B002,10,22572.0
2022-01,2022,1,B002,11,35420.0
2022-01,2022,1,B002,12,9603.0
2022-01,2022,1,B002,13,-10164.0
2022-01,2022,1,B002,14,-7502.0
2022-01,2022,1,B002,15,-6776.0
2022-01,2022,1,B002,16,-77000.0
2022-01,2022,1,B002,17,-16500.0
2022-01,2022,1,B002,18,-15125.0
2022-01,2022,1,B002,19,-10771.2
2022-01,2022,1,B002,20,-4936.8
2022-01,2022,1,B002,21,-4263.6
2022-01,2022,1,B002,22,-3141.6
2022-01,2022,1,B002,23,-13912.8
2022-01,2022,1,B002,24,-6956.4
2022-01,2022,1,B002,25,-6283.2
2022-01,2022,1,B002,26,-4039.2
2022-01,2022,1,B002,27,-11668.8
2022-01,2022,1,B002,28,-3590.4
2022-01,2022,1,B002,29,-5313.0
2022-01,2022,1,B002,30,-7161.0
2022-01,2022,1,B002,31,-2772.0
2022-01,2022,1,B002,32,-4039.2
2022-01,2022,1,B002,33,-3141.6
